Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date)
"3,076",Swedbank,3 månader,"16 756","5,0 mkr",0
4,Skandiabanken,3 månader,"16 757",,
"4,11",Handelsbanken,3 månader,"16 757","1,25 mkr",2012-03-01
"3,75",Danske Bank,Rörlig,"16 758",,
"3,35",Danske Bank,3 månader,"16 758",,
"3,85",Swedbank,Rörlig,"16 761",,
"3,68",SEB,3 månader,"16 761","4,7 mkr",2011-10-10
"3,4",Handelsbanken,2 år,"16761",800000,20120401
"3,68",Swedbank,Rörlig,"16 761","5,5 mkr",2004-06-01
"3,49",Skandiabanken,2 år,"16762",,
"3,35",SEB,3 månader,"16 762",1000000,120321
"3,98",Handelsbanken,3 månader,"16 762","5,2",2012-02-01
"3,56",Skandiabanken,2 år,"16762",2 mkr,111001
"3,56",Skandiabanken,2 år,"16762",2 mkr,111001
"4,23",Handelsbanken,3 månader,"16 762",750000,Mars 2009
"3,02",SEB,2 år,"16763",,
"3,63",Handelsbanken,3 månader,"16 763",,
"3,5",Danske Bank,Rörlig,"16 763",,
"3,35",Danske Bank,3 månader,"16 763",5,20120101
"3,55",Danske Bank,Rörlig,"16 763",9 mkr,120101
"3,67",Handelsbanken,3 månader,"16 763","3,3 mkr",2012-03-01
"3,7",Danske Bank,Rörlig,"16 763",5,20120101
"3,65",Nordea,Rörlig,"16 763",2 mkr,februari 2012
"3,41",SEB,3 månader,"16 763",3000000,Mars 2012
"2,84",SEB,2 år,"16764","2,5 mkr",20110920
"3,77",Handelsbanken,3 månader,"16 764",500000 kr,sept 2011
"3,21",SEB,3 månader,"16 765",,
4,Handelsbanken,3 månader,"16 765",,
"3,44",SEB,Rörlig,"16 765",,
"4,09",Handelsbanken,Rörlig,"16 765","0,35",20120216
"3,35",Danske Bank,3 år,"16765","4,5",2009-08-30
"3,85",Swedbank,3 månader,"16 765","4,5",april 2012
"3,41",SEB,Rörlig,"16 766",,
"3,87",Handelsbanken,3 månader,"16 766",,
"3,93",Handelsbanken,3 månader,"16 766","1,7 mkr",2012-01-01
"3,56",SEB,3 månader,"16 766","1,6",2011-06-13
"3,56",SEB,3 månader,"16 766","1,6",2011-06-13
"5,7",Handelsbanken,7 år,"16766","0,34",2008-12-16
"3,21",Swedbank,2 mån,"16 766","1,8",2003-06-20
"3,63",Handelsbanken,3 månader,"16 766",1 mkr,April 2012
"4,33",SEB,Rörlig,"16 766","2,5 mkr",februari 2012
"5,7",Handelsbanken,8 år,"16766","0,4",mars 2008
"3,56",SEB,3 månader,"16 766","1,6",nov 2011
"3,62",Handelsbanken,3 månader,"16 767",,
"3,52",SEB,3 månader,"16 767",5 mkr,20120327
"3,95",Swedbank,3 månader,"16 767",3000000,120330
"2,84",Swedbank,5 år,"16767","1,6 mkr",2010-11
"4,45",Swedbank,3 månader,"16 767",136 TSEK,Feb 2012
"3,97",Länsförsäkringar,Rörlig,"16 771",,
"2,66",SEB,3 månader,"16 771",,
"4,23",Handelsbanken,3 månader,"16 771",,
"3,6",Nordea,3 månader,"16 771",,
"2,75",Swedbank,Rörlig,"16 771",,
4,Skandiabanken,Rörlig,"16 771",,
"3,77",Handelsbanken,Rörlig,"16 771",3900000,rörligt
"3,6",Danske Bank,Rörlig,"16 771","2,6 mkr",rörligt
"3,15",SEB,3 månader,"16 771","3,8mkr",20010-01-01
"4,1",SBAB,3 månader,"16 771","5,2",120201
"3,21",Handelsbanken,2 år,"16771",5900000,2012-01-27
"4,19",Handelsbanken,3 månader,"16 771","2,1",2010-05-01
"3,59",Swedbank,5 år,"16771","4,2 mkr",101001
"3,77",Swedbank,3 år,"16771","1,2",november 2011
"3,6",Danske Bank,3 månader,"16 771","5,1 mkr",januari 2012
"2,92",SEB,1 år,"16771",5000000,Januari 2012
"4,21",SBAB,3 månader,"16 771","1,4",Februari 2012
"3,34",SEB,2 år,"16772",1 Mkr,mars 2012
"3,43",SEB,3 år,"16772","1,1",mars 2012
"3,92",Handelsbanken,3 månader,"16 773","1,1 mkr",120301
"2,54",Handelsbanken,2 år,"16773",1625000,20100730
"3,73",Handelsbanken,3 månader,"16 773","3,5 mkr",2012-03-01
"4,25",SEB,2 år,"16774",,
"4,25",SEB,2 år,"16774",,
"2,15",Swedbank,3 månader,"16 775",,
"3,32",Handelsbanken,Rörlig,"16 775",3 mkr,2012-03-01
"3,88",Handelsbanken,Rörlig,"16 775","7,2",20091001
"3,6",Danske Bank,Rörlig,"16 775","3,5",2007-01-29
"3,53",SBAB,2 år,"16775","1,2 mkr",2012-02-15
"3,83",Handelsbanken,3 månader,"16 775","6,7 mkr",februari 2012
"3,5",Handelsbanken,2 år,"16775","3,9 MSEK",April 2012
"3,87",Handelsbanken,3 månader,"16 776",,
"3,76",SEB,3 månader,"16 830",,
"3,3",SEB,1 år,"16831",,
"3,87",Handelsbanken,3 månader,"16 831",,
"3,56",SEB,Rörlig,"16 831","1,3 mkr",ej bundet
"4,16",Handelsbanken,3 månader,"16 832","1,2 mkr",2012-02-01
"4,13",Handelsbanken,3 månader,"16 833",,
"4,03",Handelsbanken,3 månader,"16 833","1,832 mkr",20120120
"4,2",Nordea,3 månader,"16 834",1270000,2010-01-01
"3,26",SEB,1 år,"16835",,
"4,2",Swedbank,3 månader,"16 835",,
"3,71",Swedbank,3 månader,"16 835",,
4,Swedbank,3 månader,"16 835","1,75 mkr",2012-02-07
"4,25",Handelsbanken,Rörlig,"16 835",1200000,2010-10-01
"2,15",Swedbank,3 månader,"16 835","1,2 mkr",Mars 2012
"4,2",Danske Bank,Rörlig,"16 836",,
"4,2",Länsförsäkringar,3 månader,"16 836",,
"4,15",SBAB,3 månader,"16 836",,
"4,23",Handelsbanken,3 månader,"16 836",,
"3,64",Handelsbanken,5 år,"16836","0,75 mkr",2010-09-01
"3,8",Nordea,2 år,"16836","1,4 mkr",111130
"3,3",Swedbank,Rörlig,"16 836","1,25 mkr",20120328
"4,17",Handelsbanken,3 månader,"16 836","1,3",2012-03-01
"4,2",Handelsbanken,1 år,"16836",1 mkr,september 2011
"3,7",Swedbank,3 månader,"16 837",10080000,20110602
"3,75",Handelsbanken,2 år,"16837",850000,2011/10
"3,3",Swedbank,2 år,"16838",,
"4,1",Skandiabanken,3 månader,"16 838",860000,2011-04-01
"3,5",SEB,1 år,"16838","1,45 mkr",2012-03-20
4,Skandiabanken,3 månader,"16 838","1,1 mkr",juni 2012
"3,8",Skandiabanken,3 månader,"16 839",2 mkr,Mars 2012
"4,5",SEB,Rörlig,"16 839",,
"4,1",Skandiabanken,Rörlig,"16 839",,
"3,9",Swedbank,3 månader,"16 839",4,2011-12-21
"4,1",Nordea,3 månader,"16 839",230000,20120228
"3,95",Nordea,2 år,"16841",,
"3,68",Handelsbanken,3 månader,"16 841",,
"3,7",SEB,3 månader,"16 841","1,5",2012
"3,85",Nordea,5 år,"16844",,
"4,42",Länsförsäkringar,1 år,"16844",1500000,20120101
"3,68",SBAB,3 år,"16845",,
4,SBAB,Rörlig,"16 845",,
"4,12",SBAB,3 månader,"16 847","1,2 mkr",Mars 2012
"3,7",Handelsbanken,2 år,"16848","0,540 mkr",2012-03-01
"4,4",SBAB,2 år,"16849",438842,2011-05-28
"3,67",SEB,Rörlig,"16 850",,
"3,6",Danske Bank,Rörlig,"16 850",,
"3,8",Swedbank,3 månader,"16 850",,
"3,11",SEB,3 månader,"16 850","2,8 mkr",2010-12-28
"3,55",Nordea,1 år,"16850","2,5 mkr",2012-01-25
"3,7",Danske Bank,Rörlig,"16 850",5 mkr,20090101
"3,11",SEB,3 månader,"16 850","2,8 mkr",December 2010
"3,46",SEB,3 månader,"16 850","0,4",Mars 2012
"3,45",Danske Bank,Rörlig,"16 851",,
"3,34",SEB,3 månader,"16 851",,
"3,73",Handelsbanken,3 månader,"16 851",4,2012-03-01
"4,13",Handelsbanken,Rörlig,"16 851","4,3",120201
"4,15",Handelsbanken,2 år,"16851","1,4",Okt2011
"4,15",Handelsbanken,2 år,"16851","1,4",Okt2011
"4,1",Handelsbanken,3 månader,"16 851","2,65 mkr",februari 2012
"4,17",Handelsbanken,3 månader,"16 851","0,3 mkr",Mars 2012
"2,99",Swedbank,2 år,"16852",1.7mkr,120209
"3,15",Swedbank,3 år,"16852","1,7mkr",120209
"2,3",Swedbank,3 månader,"16 852","1,65",120209
"3,81",SEB,2 år,"16853",2mkr,11/0610
"4,45",Swedbank,3 månader,"16 853",,
"3,68",Handelsbanken,3 månader,"16 853",,
"2,69",Swedbank,Rörlig,"16 853",,
"3,4",Nordea,2 år,"16853",,
"3,32",SEB,2 år,"16853",3Mkr,120331
"3,67",SEB,Rörlig,"16 853",3550000,20111201
"3,8",Nordea,3 månader,"16 853",3000000,20120118
"3,4",Nordea,2 år,"16853","3,5 mkr",oktober 2011
"3,54",Swedbank,4 år,"16853",450000,Februari 2010
"4,2",Swedbank,3 månader,"16 853",450000,Mars 2012
"3,53",Handelsbanken,Rörlig,"16 853",2000000,april 2012
"4,3",Nordea,3 månader,"16 854",,
4,Nordea,10 år,"16854",1 mkr,2012-01-15
"3,75",SEB,1 år,"16855",,
4,SBAB,3 månader,"16 855",,
"3,31",SEB,2 år,"16855",,
"3,95",SEB,1 år,"16855",,
"3,73",Handelsbanken,3 månader,"16 855",,
"4,03",Handelsbanken,1 år,"16855",,
"4,1",Skandiabanken,Rörlig,"16 855",,
"3,37",SEB,3 år,"16855","2,8 mkr",2012-02-28
"3,78",Handelsbanken,3 månader,"16 855","3,5 mkr",20120301
"3,87",SEB,3 månader,"16 855","1,7",120213
"3,16",Handelsbanken,3 år,"16855",5 mkr,Mars 2012
"3,26",SEB,3 månader,"16 855",3.0 mkr,dec 2010
"3,45",SEB,2 år,"16856","1,13",Februari 2012
"4,35",SEB,2 år,"16856","1,13",Februari 2012
"3,45",SEB,1 år,"16856","1,04",Februari 2012
"4,45",Swedbank,3 månader,"16 856",4370000,2012-03-03
4,Nordea,3 månader,"16 856",,
"3,63",Handelsbanken,3 månader,"16 856","2,5 mkr",2012-04-01
"3,9",SBAB,3 månader,"16 856",950000,december 2011
"3,1",SEB,Rörlig,"16 856","2,5",2012
"3,45",SEB,3 månader,"16 857","4,5 mkr",mars 2012
"2,6",Swedbank,Rörlig,"16 857","3,5",Från juni 2006 (ej bundet)
"4,22",Länsförsäkringar,3 månader,"16 857",,
"3,31",SEB,3 månader,"16 857","3,3 mkr",120329
"3,6",Nordea,3 månader,"16 857","4,5 mkr",20120323
"3,8",Nordea,3 månader,"16 857","2,31",2012-02-28
"3,3",SEB,Rörlig,"16 857","1,2 mkr",april 2012
"3,39",Skandiabanken,2 år,"16857",580,Mars 2012
"4,31",Skandiabanken,2 år,"16857",500000,Juni 2011
"3,8",Skandiabanken,3 månader,"16 857",200000,April 2012
4,Skandiabanken,3 månader,"16 857",160000,Februari 2012
"4,06",Skandiabanken,1 år,"16857",200000,Augusti 2011
4,Skandiabanken,3 månader,"16 857",200000,Februari 2012
"3,66",Skandiabanken,2 år,"16857",300000,September 2011
"3,4",Swedbank,Rörlig,"16 858","1,9 mkr",Rörlig
"3,95",Länsförsäkringar,Rörlig,"16 858",,
"4,04",Handelsbanken,3 månader,"16 858",,
"3,7",Swedbank,3 månader,"16 858",4,20120125
"4,14",Skandiabanken,3 månader,"16 858","0,45",2012-03-01
"3,71",SEB,3 månader,"16 858",1800000,2012-03-21
"4,17",Handelsbanken,5 år,"16858","0,327323 mkr",2010-07-01
"4,33",SBAB,3 månader,"16 859",,
"3,78",Handelsbanken,1 år,"16859",,
"3,35",Swedbank,2 år,"16859","2,9 mkr",2011-12-01
"4,2",Swedbank,Rörlig,"16 859","3,4",120301
"3,68",Handelsbanken,3 månader,"16 859","1,4 mkr",2012-03-27
"3,93",Handelsbanken,Rörlig,"16 859","1,9",April 2012
"3,72",Handelsbanken,1 år,"16860",,
"4,23",Handelsbanken,3 månader,"16 860",,
"3,76",Handelsbanken,2 år,"16860",,
"4,13",Handelsbanken,Rörlig,"16 860",3 mkr,rörligt
"3,55",Danske Bank,1 månad,"16 861","4,55",2012-03-30
"3,63",Swedbank,3 månader,"16 861",4,2011-09-01
"3,7",Nordea,3 månader,"16 861","3,65 mkr",Mars 2012
"2,9",SEB,2 år,"16861","3,3 mkr",Mars 2012
"4,15",Swedbank,Rörlig,"16 862",,
"3,68",SEB,Rörlig,"16 862",840000,111130
"3,53",Handelsbanken,1 år,"16862","1,1 mkr",april 2011
"3,89",Nordea,Rörlig,"16 864","2,7",20110630
"3,21",SEB,3 månader,"16 864","2,8 mkr",2011-11-01
"4,4",Swedbank,3 månader,"16 864",500000,101001
"3,8",Nordea,3 månader,"16 864","0,99 mkr",-
"4,02",Nordea,3 månader,"16 864",495000,2011
"3,85",Handelsbanken,3 år,"16864",600 tkr,Januari 2010
"3,93",Handelsbanken,3 månader,"16 864",600 tkr,April 2012
"2,98",SEB,2 år,"16865",,
"3,9",Nordea,3 månader,"16 865","1,4 mkr",2012-02-26
"4,3",Swedbank,Rörlig,"16 865","1,3",2012-02-28
"4,03",Handelsbanken,2 år,"16865",1360000,110830
4,Handelsbanken,2 år,"16865",1360000,110830
4,Handelsbanken,2 år,"16865",1360000,110830
"4,3",Nordea,3 månader,"16 865",500000,maj 2008
"3,55",Danske Bank,Rörlig,"16 865","1,8",December 2011
"3,49",Swedbank,1 år,"16866","3,269 mkr",120215
"3,75",Handelsbanken,5 år,"16866","2,5mkr",20101115
4,Handelsbanken,Rörlig,"16 866",2mkr,20120330
"4,06",Handelsbanken,3 månader,"16 866",2854000,april 2012
"3,85",Handelsbanken,3 månader,"16 867","0,2",120401
"3,46",SEB,2 år,"16868",,
"4,09",SBAB,Rörlig,"16 868",,
"3,5",Nordea,3 månader,"16 868",2175000,120101
"4,4",Länsförsäkringar,2 år,"16868",900000,20111123
"3,95",Länsförsäkringar,Rörlig,"16 868",900000,20120401
"3,66",SEB,Rörlig,"16 868","1,7 mkr",2012-02-27
"4,14",SEB,3 månader,"16 869",,
"4,1",Nordea,Rörlig,"16 869",,
"3,24",SBAB,2 år,"16869",820000,2009-12-12
"2,5",Länsförsäkringar,2 år,"16869","1,2 mkr",111015
"3,78",Handelsbanken,3 månader,"16 869",2 mkr,April 2012
"3,5",Danske Bank,3 månader,"16 870",,
"2,8",SEB,3 år,"16870","1,94",2011-12-06
"3,8",Handelsbanken,3 månader,"16 870",,
"3,4",Swedbank,2 år,"16870","2,5",2012-02-17
"2,71",SEB,3 år,"16870","1,5 mkr",2012-12-10
"2,81",SEB,1 år,"16872",3,2011
"3,17",Nordea,3 år,"16873",,
"3,77",SEB,2 år,"16873",,
"3,05",SEB,2 år,"16873","1,615 mkr",2011-09-01
"3,6",SEB,3 månader,"16 873","1,6 mkr",201003
"3,98",Handelsbanken,3 månader,"16 873","1,3 mkr",Februari 2012
"4,55",Swedbank,Rörlig,"16 874",,
"3,41",Swedbank,Rörlig,"16 874",,
"3,75",Handelsbanken,3 månader,"16 874",,
"3,79",SEB,5 år,"16874",326000,20120102
"3,49",Skandiabanken,2 år,"16874","1,5",20120401
"3,49",Skandiabanken,2 år,"16874","1,5",20120401
"4,23",SBAB,3 månader,"16 874","1,8",April 2010
"3,7",Handelsbanken,1 år,"16875",,
"3,41",SEB,3 månader,"16 875",,
"3,5",Swedbank,Rörlig,"16 875",660000,110415
"3,85",SEB,3 månader,"16 875","1,2 mkr",20120228
"3,5",Danske Bank,3 månader,"16 875","1,28",Februari 2012
"3,28",Swedbank,Rörlig,"16 877","2,63 mkr",20071115
"3,75",Danske Bank,Rörlig,"16 877","1,1 mkr",inte bundet
"3,52",SBAB,2 år,"16930","1,6 mkr",Februari 2012
"4,08",SBAB,3 månader,"16 930",,
"3,69",Handelsbanken,1 år,"16930",,
"3,69",Handelsbanken,1 år,"16930","1,6 mkr",2012-03-30
"3,61",SEB,3 månader,"16 930",1980000,20120323
"3,7",Swedbank,3 år,"16930","1,5 mkr",120315
"3,96",Handelsbanken,Rörlig,"16 930","1,6",20120401
"3,5",Swedbank,3 månader,"16 930","1,36 mkr",Maj 2011
"3,19",SEB,Rörlig,"16 931",,
"3,89",Swedbank,2 år,"16931",,
"3,75",Nordea,3 månader,"16 931",2400000,mars 2012
"2,86",SEB,2 år,"16932","2,1",Dec 2011
"3,85",Swedbank,1 år,"16933",,
"3,85",Swedbank,1 år,"16933",,
"3,53",Swedbank,3 månader,"16 933",,
"3,64",Swedbank,2 år,"16934","1,8",20110218
"3,5",Handelsbanken,3 månader,"16 934","2,7",Mars 2012
"3,8",Nordea,Rörlig,"16 935","1,6",mars 2012
"3,56",SEB,3 månader,"16 935",,
"4,3",Handelsbanken,3 månader,"16 935",,
"4,15",SBAB,3 månader,"16 935",,
"4,14",SEB,3 månader,"16 935",790000,januari 2012
"2,76",SEB,2 år,"16936",,
"4,3",Nordea,Rörlig,"16 936",,
"4,56",SBAB,2 år,"16936","1,2 mkr",20110901
"4,2",SBAB,Rörlig,"16 936","1,4 mkr",2012-02-29
"3,75",Handelsbanken,5 år bundet med räntetak,"16 936",2 mkr,December 2010
"2,18",Handelsbanken,3 månader,"16 936","1,5 mkr",Februari 2012
"2,18",Handelsbanken,3 månader,"16 936","1,5 mkr",Februari 2012
"4,37",SBAB,3 månader,"16 937",,
"3,71",SEB,5 år,"16937",,
"2,95",Swedbank,3 år,"16937","2,5 mkr",20111215
"3,21",SEB,3 månader,"16 937","1,28",2012-03-21
"3,85",Länsförsäkringar,3 månader,"16 937","1,8 mkr",20120401
"2,81",SEB,3 år,"16937","1,5 mkr",augusti 2011
"3,48",SEB,2 år,"16938",,
"3,95",Nordea,Rörlig,"16 938","1,4",2012-04-02
"4,3",Handelsbanken,Rörlig,"16 939",,
"3,95",Länsförsäkringar,3 månader,"16 939",,
"4,55",Handelsbanken,2 år,"16939",,
"3,37",SEB,1 år,"16939",2000000,augusti 2011
"3,96",SEB,Rörlig,"16 939","1,615 mkr",2012-02-29
"2,7",Nordea,2 år,"16939","1,62",aug 2010
"4,18",SEB,Rörlig,"16 940",,
"3,41",Nordea,3 månader,"16 940",,
"3,67",SEB,3 månader,"16 940",,
"3,8",Handelsbanken,3 månader,"16 940",,
"3,73",Handelsbanken,1 år,"16940",,
"3,56",Handelsbanken,2 år,"16940",,
"3,41",Nordea,3 månader,"16 940","2,1 mkr",2012-03-27
"4,2",Nordea,4 år,"16940","0,3",2011-11-30
"3,18",SEB,1 år,"16940","2,1 mkr",2011-11-01
"2,5",SEB,2 år,"16940","1,8",2010-07-01
"3,356",Swedbank,Rörlig,"16 940",2,120402
"3,6",Swedbank,3 månader,"16 940","1,2 mkr",2012-03-28
"3,95",Swedbank,2 år,"16940","1,167",2011-05-25
"3,22",SEB,1 år,"16940",600000,juli 2011
"3,305",Swedbank,3 månader,"16 940",1 mkr,?
"3,75",Swedbank,2 år,"16940","2,25",December 2010
"3,85",Skandiabanken,3 månader,"16 940","2,5 mkr",april 2008
"3,5",Swedbank,1 år,"16950",,
"4,42",Swedbank,3 år,"16950",,
"3,98",Handelsbanken,1 år,"16950","2,7 mkr",110430
"3,4",Swedbank,3 år,"16951",2900000,20111001
"2,99",SEB,3 år,"16951","1,3",2012-01-05
"4,1",Nordea,3 månader,"16 951","2,1 mkr",2011
"3,59",Skandiabanken,3 år,"16951","2,1 mkr",feb 2012
"3,79",Swedbank,3 månader,"16 952",,
"4,17",Handelsbanken,3 månader,"16 952",,
"4,17",Handelsbanken,3 månader,"16 952",,
"4,09",SBAB,3 månader,"16 952",,
"4,2",Swedbank,3 månader,"16 952",850000,Mars 2012
"4,17",Handelsbanken,3 månader,"16 953",,
"4,3",SBAB,3 månader,"16 953",,
"2,83",Handelsbanken,2 år,"16953","2,4",2010-10-01
"3,65",Länsförsäkringar,2 år,"16953",675000,September 2011
"2,63",Länsförsäkringar,2 år,"16953",675000,September 2010
"4,1",Nordea,Rörlig,"16 953",1,-
"3,8",SEB,3 månader,"16 953","3,9",Mars 2011
"3,58",SEB,3 månader,"16 954",,
"3,7",Handelsbanken,1 år,"16954",,
"3,6",Swedbank,2 år,"16954",,
"3,85",SEB,3 månader,"16 954",,
"4,95",Handelsbanken,3 månader,"16 954",,
"3,8",Handelsbanken,Rörlig,"16 954","13,1",20120101
"3,45",Handelsbanken,2 år,"16954","1,3",april 2011
"4,3",Nordea,3 månader,"16 955",,
"2,69",SEB,2 år,"16955",,
"3,56",SEB,3 månader,"16 955",227500,20101125
"4,1",Nordea,3 månader,"16 955","1,5",2012-03-05
"3,55",SBAB,2 år,"16955",3 mkr,mars 2012
"3,8",Handelsbanken,3 månader,"16 957",,
"3,33",SEB,3 månader,"16 957",,
"3,36",SEB,3 månader,"16 957",,
"4,43",Handelsbanken,Rörlig,"16 957",,
"3,8",Handelsbanken,3 månader,"16 957",2,feb 2012
"3,95",Swedbank,3 år,"16958",,
"3,74",Skandiabanken,5 år,"16958","1,3 mkr",2011-11-01
"3,85",Nordea,1 år,"16958","1,6",2011-08-01
"3,55",Swedbank,3 månader,"16 959",,
"3,56",SEB,3 månader,"16 959","1,1 mkr",Mars 2012
"3,85",Länsförsäkringar,2 år,"16959",700000 kr,Juli 2010
"4,15",SBAB,Rörlig,"16 959","1,1",januari 2008
"2,92",SEB,3 år,"16960",,
"3,37",Handelsbanken,1 år,"16960",500000,20120330
4,Nordea,3 månader,"16 960",520000,20111101
"4,15",SBAB,3 månader,"16 962",,
"4,7",Swedbank,1 år,"16962",1900000,2011-09-01
"4,42",SBAB,3 månader,"16 962",688000,oktober 2009
"4,25",SBAB,Rörlig,"16 963","0,6 mkr",2012-02-04
"3,69",Swedbank,Rörlig,"16 964",,
"4,15",Swedbank,3 månader,"16 964",,
"4,13",Handelsbanken,Rörlig,"16 967",,
"3,85",Danske Bank,Rörlig,"16 969",485000,Februari 2012
"3,55",SEB,3 månader,"16 969",,
"3,7",Länsförsäkringar,3 månader,"16 969",,
"3,85",Danske Bank,Rörlig,"16 969",,
"3,4",SEB,2 år,"16969",20mkr,20120401
"4,3",Swedbank,1 år,"16969",1072000,2011-09-09
"3,51",SEB,3 månader,"16 969","1,885",december 2011
"3,28",SEB,3 månader,"16 969",800000,Mars 2012
"3,79",Handelsbanken,2 år,"16969",609.0"0,00",oktober 2011
"3,56",Handelsbanken,2 år,"16970",,
"4,45",Swedbank,Rörlig,"16 972",,
"4,15",Swedbank,3 månader,"16 972",,
4,Swedbank,3 månader,"16 972",,
"4,09",SBAB,3 månader,"16 972",,
"3,82",SEB,Rörlig,"16 972","2,5 mkr",2012-04-02
"4,04",SEB,2 år,"16972","2,2",2011-02-01
"4,1",Skandiabanken,3 månader,"16 972",250.000 kr,2012-03-30
"3,7",Swedbank,3 månader,"16 972",850000,februari 2012
"3,53",Handelsbanken,2 år,"16973","2,5 mkr",110810
"3,92",Handelsbanken,3 månader,"16 973",840749,Juni 2007
"4,44",SBAB,3 månader,"16 973",,
"3,85",Handelsbanken,2 år,"16973",,
"4,2",Swedbank,3 månader,"16 973",,
"3,6",Nordea,3 månader,"16 973",,
"3,76",SEB,3 månader,"16 973",,
"3,41",SEB,3 månader,"16 973","0,2 mkr",2011-06-09
"4,23",Swedbank,5 år,"16973",1350000,2009-12-12
"4,13",Länsförsäkringar,3 månader,"16 973",1683000,2012-02-01
"3,23",Swedbank,3 år,"16973","3,7 mkr",2012-02-01
"2,7",SEB,1 år,"16973","3,315",2011-09-01
"3,45",Danske Bank,Rörlig,"16 973","2,6",2011-11-01
"2,99",SEB,2 år,"16973","3,3 mkr",2011-11-18
"3,4",Handelsbanken,2 år,"16973","1,75",120330
"3,52",Länsförsäkringar,2 år,"16973","1,24",2011-04-02
4,Skandiabanken,3 månader,"16 973","1,1 mkr",maj 2009
"4,94",Handelsbanken,3 månader,"16 973",867500,Juni 2007
"4,1",Swedbank,3 månader,"16 973","2,6 mkr",2010
"3,89",SEB,3 månader,"16 973","2,3",Apr 2012
"4,41",Swedbank,3 år,"16973","0,6 mkr",Juni 2011
"3,65",Swedbank,2 år,"16973","0,6 mkr",Juni 2010
"3,04",Swedbank,3 år,"16973","0,8 mkr",Juni 2010
"4,01",Swedbank,3 månader,"16 974",,
"2,89",Handelsbanken,5 år,"16974",,
"4,12",Länsförsäkringar,3 månader,"16 974",,
"4,13",Handelsbanken,3 månader,"16 974",3500000,2012-01-29
"4,6",Skandiabanken,3 år,"16974",725000,110801
"3,6",Skandiabanken,2 år,"16974",725000,110801
"4,09",Handelsbanken,3 månader,"16 974","1,1",2012-02-01
"4,3",Nordea,3 månader,"16 974",1150000,20100901
"3,3",Handelsbanken,2 år,"16974","2,75 mkr",111101
"3,52",SEB,2 år,"16974","2,8 mkr",111110
"3,4",Handelsbanken,3 år,"16974",2,110801
"3,65",Swedbank,3 månader,"16 974",2 mkr,20100701
"4,3",Nordea,Rörlig,"16 974","2,1 mkr",December 2011
"3,46",SEB,3 månader,"16 974","2,3",Juni 2010
"3,81",SBAB,3 år,"16974","1,9",December 2010
"3,57",Swedbank,3 månader,"17 062","2,0 mkr",2012-03-21
"3,65",Swedbank,3 månader,"17 062","0,8 mkr",2012-03-27
"3,79",SBAB,3 år,"17066","1,28 mkr",September 2011
"3,43",Skandiabanken,2 år,"17067",,
"4,05",SBAB,3 månader,"17 067","1,7",November 2010
"3,37",Skandiabanken,2 år,"17067","4,2 mkr",April 2012
"3,9",Swedbank,Rörlig,"17 069",,
"3,3",SEB,1 år,"17069",,
"3,7",Nordea,Rörlig,"17 069","2,4",Obundet
"3,65",Danske Bank,Rörlig,"17 069","2,58 mkr",0
"3,87",Handelsbanken,3 månader,"17 069","1,45 mkr",120301
"3,74",Swedbank,2 år,"17069","2,1 mkr",2011-03-01
"3,71",SEB,3 månader,"17 069",2200000 kr,2012-03-21
"3,76",SEB,3 månader,"17 069","1,45",2012-03-21
"3,61",Swedbank,Rörlig,"17 069","1,8",670519
"3,61",Swedbank,Rörlig,"17 069","1,8",670519
"3,5",Danske Bank,Rörlig,"17 069",2000000,2011-09-30
"3,75",Danske Bank,Rörlig,"17 069","1,8 mkr",101215
"2,66",Handelsbanken,2 år,"17069",1000000,september 2011
"2,6",Swedbank,Rörlig,"17 069","1,0 mkr",Juli 2008
"3,83",Handelsbanken,3 månader,"17 071","1,9 mkr",2012-04-01
"4,16",SBAB,3 månader,"17 071",,
"3,76",SEB,3 månader,"17 071","1,1mkr",20100901
"3,36",SEB,3 månader,"17 071",2.5 mkr,2011-11-01
"4,05",Nordea,Rörlig,"17 072",,
"3,08",SEB,2 år,"17072","1,9 mkr",2012-03-13
"4,34",Nordea,2 år,"17073",,
"4,15",SBAB,3 månader,"17 073",,
"4,15",SBAB,Rörlig,"17 073",,
"3,6",Swedbank,5 år,"17073","0,6 mkr",2010-10-01
"3,6",Swedbank,5 år,"17073","0,6 mkr",2010-10-01
"3,4",SBAB,2 år,"17074","1,8",111001
"4,1",Nordea,3 månader,"17 075",,
"3,56",SEB,3 månader,"17 075",,
"3,5",SBAB,2 år,"17075","1,7",2011-09-15
"4,03",Swedbank,3 månader,"17 075",2500000,2011-04-23
"3,36",SEB,3 månader,"17 076",,
"3,55",Swedbank,2 år,"17076",,
"4,6",Swedbank,3 månader,"17 076",,
"4,15",Länsförsäkringar,3 månader,"17 076",428758,2012-03-30
"4,15",Länsförsäkringar,3 månader,"17 076",428758,2012-03-30
"3,47",SEB,3 månader,"17 076","1,7",juli 2009
4,Skandiabanken,3 månader,"17 077","1,2 mkr",120330
4,Nordea,Rörlig,"17 077","1,0 mkr",2010-03-03
"3,85",Länsförsäkringar,3 månader,"17 077","1,95 mkr",2012-04-03
"6,77",SEB,7 år,"17078",,
"3,8",Skandiabanken,3 månader,"17 078",,
"3,9",Nordea,3 månader,"17 078",5 mkr,120325
